Nom	Latitud	Longitud	Telèfon 1	Telèfon 2	Adreça	Barri	Districte	Codi Postal	Ciutat	Regio	Pais	Web	Propietari	Correu electrònic
Bar Restaurant Habana Barcelona	41.37539852222222	2.18853675	+34 932250263	+34 932214467	C Escar 1	la Barceloneta	Ciutat Vella	08039	BARCELONA	BARCELONA	ESPANYA	http://www.habanabarcelona.com		habanabarcelona@habanabarcelona.com
 Fresh	41.39700243055555	2.1522896666666664	+34 934156224		C Balmes 193	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08006	BARCELONA	BARCELONA	ESPANYA			
Bar Pinocho	41.38267368611111	2.171678722222222	+34 933171731		la Rambla 101	el Raval	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			
Col·legi d'Arquitectes de Catalunya	41.38444698611111	2.175041361111111	+34 933067850	+34 933015000	Pl Nova 5	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			
Bar Glüh	41.38692916666667	2.1761466388888886			Verdaguer i Callís 6	Sant Pere, Santa Caterina i la Ribera	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA			
Bar Mandarina	41.38415379722222	2.158560222222222	+34 933233393		Diputació 157	l'Antiga Esquerra de l'Eixample	Eixample	08011	BARCELONA	BARCELONA	ESPANYA			
Bar Restaurant El Último Agave	41.38786373055556	2.1588890277777777	+34 934549343		C Aragó 193	l'Antiga Esquerra de l'Eixample	Eixample	08011	BARCELONA	BARCELONA	ESPANYA	http://www.elultimoagave.com		elultimoagave@elultimoagave.com
Restaurant Candela Raval	41.38072328888889	2.1711486944444442	+34 933010813		C Hospital 48	el Raval	Ciutat Vella	08001	BARCELONA	BARCELONA	ESPANYA	http://www.candelaraval.com		info@candelaraval.com
Hotel Claris	41.39445991388889	2.165013194444444	+34 934874647	+34 934876262	C Pau Claris 150	la Dreta de l'Eixample	Eixample	08009	BARCELONA	BARCELONA	ESPANYA	http://www.derbyhotels.es	PROMOCION HOTELERA LAYETANA SA	east47.bcn@derbyhotels.es
Restaurant Japonès Misaki	41.38759699444444	2.1605608333333333	+34 934513393		C Aribau 40	l'Antiga Esquerra de l'Eixample	Eixample	08011	BARCELONA	BARCELONA	ESPANYA			
Restaurant La Locanda	41.38595585	2.1755125555555552	+34 933174609		C Doctor Joaquim Pou 4	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA	http://www.restaurantelalocanda.com		
Gran Hotel Havana Barcelona	41.39270169444445	2.1721956944444445	+34 934121115	+34 934122611	G.V. Corts Catalanes 647	la Dreta de l'Eixample	Eixample	08010	BARCELONA	BARCELONA	ESPANYA	http://www.grandhotelhavana.com	RCM SA	
Restaurant Fresc Co *Av Diagonal/Muntaner	41.39360134166667	2.1489241666666667	+34 934106106	+34 933016837	Av Diagonal 449	l'Antiga Esquerra de l'Eixample	Eixample	08036	BARCELONA	BARCELONA	ESPANYA	http://www.frescco.com		frescco@frescco.com
Restaurant Xinès Hecheng	41.375703025	2.155971611111111	+34 933252349		Entença 12	Sant Antoni	Eixample	08015	BARCELONA	BARCELONA	ESPANYA			
Restaurant Eterna	41.38174175555556	2.1528230833333333	+34 93 424 2526	+34 93 423 5075	C Consell de Cent 127-129	la Nova Esquerra de l'Eixample	Eixample	08015	BARCELONA	BARCELONA	ESPANYA	http://www.restauranteeterna.com		info@restauranteeterna.com
Restaurant Kailash	41.41133651944444	2.1804401388888888	+34 934330766		C Xifré 100	el Camp de l'Arpa del Clot	Sant Martí	08026	BARCELONA	BARCELONA	ESPANYA			tibkailash@hotmail.com
Free Girls	41.39936953055555	2.151432388888889	+34 932172296		Marià Cubí 4	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08006	BARCELONA	BARCELONA	ESPANYA			
Bulería Café-bar	41.38879096944444	2.158984611111111	+34 934531019		Aribau 66	l'Antiga Esquerra de l'Eixample	Eixample	08011	BARCELONA	BARCELONA	ESPANYA			
Restaurant Can Cargol	41.39548459444445	2.167451972222222	+34 934589631	+34 934580017	C València 324	la Dreta de l'Eixample	Eixample	08009	BARCELONA	BARCELONA	ESPANYA			
Restaurant Hisop	41.39445760833333	2.1480123333333334	+34 932413233	+34 932413233	Ptge Marimon 9	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA	http://www.hisop.com		hisop@hisop.com
Cafè Just	41.38267685277778	2.1796073333333332	+34 933106456		Sots-tinent Navarro 18	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			
Restaurant Can Seixanta *Pau Claris	41.39298624166667	2.1669573055555555	+34 934879581		C Pau Claris 128	la Dreta de l'Eixample	Eixample	08009	BARCELONA	BARCELONA	ESPANYA			
Restaurant Tívoli Tercer Mil·lenni	41.39807938888889	2.1436165	+34 932090381	+34 932001304	C Rector Ubach 25*27	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA	http://www.tivoli-bcn.com		
Bar Imagine	41.392690277777774	2.1534565	+34 933225390		Aribau 153	l'Antiga Esquerra de l'Eixample	Eixample	08036	BARCELONA	BARCELONA	ESPANYA			
Bar Prelude	41.39613634166667	2.1631571944444445	+34 934879445		Provença 277	la Dreta de l'Eixample	Eixample	08037	BARCELONA	BARCELONA	ESPANYA			
Restaurant Litoral	41.376059347222224	2.1900202777777777	+34 932212209	+34 932214812	Pescadors 87	la Barceloneta	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA			
Restaurant Bona Tapa	41.43035123888889	2.180571361111111	+34 933491372		Pg Fabra i Puig 148	Porta	Nou Barris	08016	BARCELONA	BARCELONA	ESPANYA			
 Tea Company	41.430457141666665	2.1732158611111108	+34 933577957		Pg Fabra i Puig 276	el Turó de la Peira	Nou Barris	08031	BARCELONA	BARCELONA	ESPANYA			
Restaurant Melton	41.392861583333335	2.1509643888888887	+34 933632776	+34 933632776	C Muntaner 189 bxs	l'Antiga Esquerra de l'Eixample	Eixample	08036	BARCELONA	BARCELONA	ESPANYA	http://www.restauran-melton.com		
Cafeteria Restaurant Zelig	41.37976693888889	2.166256722222222	+34 934415622		C Carme 116	el Raval	Ciutat Vella	08001	BARCELONA	BARCELONA	ESPANYA			
Bar McDonald's *Maremàgnum	41.37573091111111	2.1832132777777775	+34 932258195		Moll Espanya 5*6	el Barri Gòtic	Ciutat Vella	08039	BARCELONA	BARCELONA	ESPANYA	http://www.mcdonalds.es		
Restaurant Grill-Braseria	41.37573091111111	2.1832132777777775			Moll Espanya 5*6	el Barri Gòtic	Ciutat Vella	08039	BARCELONA	BARCELONA	ESPANYA			
Bar Nit i Dia *Maremàgnum	41.37573091111111	2.1832132777777775	+34 932258001		Moll Espanya 5*6	el Barri Gòtic	Ciutat Vella	08039	BARCELONA	BARCELONA	ESPANYA			
Bar restaurant Berlín	41.394329347222225	2.149497361111111	+34 932006542		Muntaner 242	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA			
Restaurant El Comedor	41.38110431388889	2.1781321666666664	+34 933175405		C Palau 6	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			
Restaurant Polenta	41.381238269444445	2.1805003333333333	+34 932681429		C Ample 51	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			
Bar Jupiter	41.382098825	2.18008325	+34 932683650		Jupí 4	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			
Bar Restaurant L'Hostal de la Bona Sort	41.38608679722222	2.1802485833333334	+34 933105460		C Carders 12	Sant Pere, Santa Caterina i la Ribera	Ciutat Vella	08003	BARCELONA	BARCELONA	ESPANYA			
Restaurant Lizarran *Sardenya	41.40382598611111	2.172937138888889	+34 934462003	+34 934368707	C Sardenya 324	la Sagrada Família	Eixample	08025	BARCELONA	BARCELONA	ESPANYA	http://www.grupolizarran.com		lizarransagradafamilia@yahoo.com
Restaurant Coure	41.39440351388889	2.147880222222222	+34 932007532		Ptge Marimon 20 bxs	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA			restaurantcoure@hotmail.com
Restaurant Farga *Beethoven	41.39308124722222	2.1405547222222223	+34 932402044	+34 934146519	C Beethoven 11	Sant Gervasi - Galvany	Sarrià-Sant Gervasi	08021	BARCELONA	BARCELONA	ESPANYA			
Restaurant Asador de Aranda *Pau Claris	41.38921386388889	2.171962388888889	+34 933425577	+34 933425578	C Pau Claris 70	la Dreta de l'Eixample	Eixample	08010	BARCELONA	BARCELONA	ESPANYA			asador@asadoraranda.com
Restaurant Foster's Hollywood *Pg M Girona	41.390579880555556	2.123404777777778	+34 932806153	+34 932060174	Pg Manuel Girona 38*LB	Pedralbes	Les Corts	08034	BARCELONA	BARCELONA	ESPANYA	http://www.fostershollywood.es		fostershollywood@fostershollywood.es
Restaurant Foster's Hollywood *La Maquinista	41.442532125	2.198353	+34 933608851	+34 933608852	Pg Potosí 2	el Bon Pastor	Sant Andreu	08030	BARCELONA	BARCELONA	ESPANYA	http://www.fostershollywood.es		fostershollywood@fostershollywood.es
Restaurant Foster's Hollywood *Heron City	41.43509441944444	2.1810243333333332	+34 932761954	+34 932761962	Av Rio de Janeiro 42	Porta	Nou Barris	08016	BARCELONA	BARCELONA	ESPANYA	http://www.fostershollywood.es		fostershollywood@fostershollywood.es
Bar Restaurant La Tasqueta	41.40296381388889	2.200019611111111	+34 933075901		Pallars 243	el Poblenou	Sant Martí	08005	BARCELONA	BARCELONA	ESPANYA			
Bar Restaurant Pita Inn *Heron City	41.43509441944444	2.1810243333333332	+34 933010037		Av Rio de Janeiro 42	Porta	Nou Barris	08016	BARCELONA	BARCELONA	ESPANYA			
Restaurant Bar Musical Imprevist	41.38169648888889	2.1645231944444445	+34 933425859		C Ferlandina 34	el Raval	Ciutat Vella	08001	BARCELONA	BARCELONA	ESPANYA	http://www.imprevist.es		
Bar Restaurant Japonès Machiroku	41.38717027777778	2.1729170555555553	+34 934126082		C Moles 21	el Barri Gòtic	Ciutat Vella	08002	BARCELONA	BARCELONA	ESPANYA			
